Date,State,TotalSamples,Negative,Positive
8/23/2020,Jharkhand,566504,536326,
8/24/2020,Jharkhand,580489,549371,
8/25/2020,Jharkhand,600322,568148,
8/26/2020,Jharkhand,643590,610279,
8/27/2020,Jharkhand,673245,638569,
8/28/2020,Jharkhand,704554,668741,
8/29/2020,Jharkhand,730237,693125,
8/30/2020,Jharkhand,755835,717400,
4/3/2020,Karnataka,4587,4281,128
4/7/2020,Karnataka,6580,5942,175
4/8/2020,Karnataka,6967,6473,181
4/9/2020,Karnataka,7613,7176,197
4/10/2020,Karnataka,7975,7673,207
4/11/2020,Karnataka,8560,8231,215
4/12/2020,Karnataka,9251,8831,232
4/13/2020,Karnataka,10017,9572,247
4/14/2020,Karnataka,11107,10554,260
4/15/2020,Karnataka,12483,11905,279
4/16/2020,Karnataka,13724,13074,315
4/17/2020,Karnataka,17594,14606,359
4/18/2020,Karnataka,19186,15658,384
4/19/2020,Karnataka,21367,17662,390
4/20/2020,Karnataka,23460,19497,408
4/21/2020,Karnataka,26233,22222,418
4/22/2020,Karnataka,29512,25424,427
4/23/2020,Karnataka,32122,28174,445
4/24/2020,Karnataka,35958,31914,474
4/25/2020,Karnataka,39083,34888,500
4/26/2020,Karnataka,42964,38207,503
4/27/2020,Karnataka,45685,43791,512
4/28/2020,Karnataka,50512,48508,523
4/29/2020,Karnataka,55404,53241,535
4/30/2020,Karnataka,60156,57548,565
5/1/2020,Karnataka,64898,61855,589
5/2/2020,Karnataka,69730,66475,601
5/3/2020,Karnataka,74898,70998,614
5/4/2020,Karnataka,79193,74664,651
5/5/2020,Karnataka,83806,78860,673
5/6/2020,Karnataka,88777,83056,693
5/7/2020,Karnataka,93535,87756,705
5/8/2020,Karnataka,98081,92237,753
5/9/2020,Karnataka,103098,97326,794
5/10/2020,Karnataka,107311,102266,848
5/11/2020,Karnataka,111595,106467,862
5/12/2020,Karnataka,116533,111264,925
5/13/2020,Karnataka,121178,119420,959
5/14/2020,Karnataka,128373,126766,987
5/15/2020,Karnataka,133724,132074,1056
5/16/2020,Karnataka,140024,138216,1092
5/17/2020,Karnataka,145398,143444,1147
5/18/2020,Karnataka,151663,149566,1246
5/19/2020,Karnataka,158599,156247,1395
5/20/2020,Karnataka,166781,164199,1462
5/21/2020,Karnataka,174297,171484,1605
5/22/2020,Karnataka,186526,183088,1743
5/23/2020,Karnataka,196196,192127,1959
5/24/2020,Karnataka,206313,201978,2089
5/25/2020,Karnataka,219894,215308,2182
5/26/2020,Karnataka,228914,223477,2283
5/27/2020,Karnataka,241608,235876,2418
5/28/2020,Karnataka,252078,246115,2533
5/29/2020,Karnataka,264489,258130,2781
5/30/2020,Karnataka,280217,273404,2922
5/31/2020,Karnataka,293575,286245,3221
6/1/2020,Karnataka,304816,297052,3408
6/2/2020,Karnataka,319628,310967,3796
6/3/2020,Karnataka,334825,325686,4063
6/4/2020,Karnataka,347093,337154,4320
6/5/2020,Karnataka,360720,349951,4835
6/6/2020,Karnataka,372582,361382,5213
6/7/2020,Karnataka,384442,372399,5452
6/8/2020,Karnataka,393221,380630,5760
6/9/2020,Karnataka,400257,387027,5921
6/10/2020,Karnataka,408506,394603,6041
6/11/2020,Karnataka,416506,402105,6245
6/12/2020,Karnataka,426341,411244,6516
6/13/2020,Karnataka,436518,420773,6824
6/14/2020,Karnataka,443969,427608,7000
6/15/2020,Karnataka,449331,432346,7213
6/16/2020,Karnataka,457267,439654,7530
6/17/2020,Karnataka,464798,446448,7734
6/18/2020,Karnataka,473507,454476,7944
6/19/2020,Karnataka,484060,464338,8281
6/20/2020,Karnataka,493893,473357,8697
6/21/2020,Karnataka,506765,485345,9150
6/22/2020,Karnataka,515969,493921,9399
6/23/2020,Karnataka,526538,503734,9721
6/24/2020,Karnataka,539247,515388,10118
6/25/2020,Karnataka,553325,527731,10560
6/26/2020,Karnataka,568058,541548,11005
6/27/2020,Karnataka,581635,554095,11923
6/28/2020,Karnataka,595470,566543,13190
6/29/2020,Karnataka,605159,575337,14295
6/30/2020,Karnataka,620747,589637,15242
7/1/2020,Karnataka,637417,604822,16514
7/2/2020,Karnataka,653627,619292,18016
7/3/2020,Karnataka,671934,635582,19710
7/4/2020,Karnataka,689526,650876,21549
7/5/2020,Karnataka,706425,665525,23474
7/6/2020,Karnataka,722305,679267,25317
7/7/2020,Karnataka,740047,694816,26815
7/8/2020,Karnataka,759181,711319,28877
7/9/2020,Karnataka,779209,728887,31105
7/10/2020,Karnataka,798437,745360,33418
7/11/2020,Karnataka,819024,746375,36216
7/12/2020,Karnataka,839074,779609,38843
7/13/2020,Karnataka,856148,793561,41581
7/14/2020,Karnataka,879822,813164,44077
7/15/2020,Karnataka,902026,831246,47253
7/16/2020,Karnataka,925477,850593,51422
7/17/2020,Karnataka,953417,870466,55115
7/18/2020,Karnataka,982701,899016,59652
7/19/2020,Karnataka,999530,927945,63772
7/20/2020,Karnataka,1025420,958311,67420
7/21/2020,Karnataka,1051976,963725,71069
7/22/2020,Karnataka,1079749,1002045,75833
7/23/2020,Karnataka,1110497,,80863
7/25/2020,Karnataka,1143262,,90942
7/26/2020,Karnataka,1176827,,96141
7/27/2020,Karnataka,1205051,,101465
7/28/2020,Karnataka,1242771,,107001
7/29/2020,Karnataka,1275761,,112504
7/30/2020,Karnataka,1313856,,118632
7/31/2020,Karnataka,1350792,,124115
8/1/2020,Karnataka,1385552,,129287
8/2/2020,Karnataka,1418569,,134819
8/3/2020,Karnataka,1446558,,139571
8/4/2020,Karnataka,1489016,,145830
8/5/2020,Karnataka,1532654,,151449
8/6/2020,Karnataka,1581075,,158254
8/7/2020,Karnataka,1624628,,164924
8/8/2020,Karnataka,1668511,,172102
8/9/2020,Karnataka,1706447,,178087
8/10/2020,Karnataka,1729067,,182354
8/11/2020,Karnataka,1772991,,
8/12/2020,Karnataka,1826317,,
8/13/2020,Karnataka,1882316,,203200
8/14/2020,Karnataka,1938954,,211108
8/15/2020,Karnataka,1993760,,219926
8/16/2020,Karnataka,2037386,,226966
8/17/2020,Karnataka,2075086,,
8/18/2020,Karnataka,2134174,,
8/19/2020,Karnataka,2197259,,
8/20/2020,Karnataka,2256862,,
8/21/2020,Karnataka,2314485,,264546
8/22/2020,Karnataka,2373103,,
8/23/2020,Karnataka,2413951,,
8/24/2020,Karnataka,2453768,,
8/25/2020,Karnataka,2513555,,
8/26/2020,Karnataka,2580621,,
8/27/2020,Karnataka,2648808,,
8/28/2020,Karnataka,2713034,,
8/29/2020,Karnataka,2785718,,
8/30/2020,Karnataka,2852675,,
4/1/2020,Kerala,7965,7256,265
4/2/2020,Kerala,8456,7622,286
4/3/2020,Kerala,9139,8126,295
4/4/2020,Kerala,9744,8586,306
4/5/2020,Kerala,10221,9300,314
4/6/2020,Kerala,10716,9607,327
4/7/2020,Kerala,11232,10250,336
4/8/2020,Kerala,11986,10906,354
4/9/2020,Kerala,12710,11469,357
4/10/2020,Kerala,13339,12335,364
4/11/2020,Kerala,14163,12818,373
4/12/2020,Kerala,14989,13802,375
4/13/2020,Kerala,15683,14829,378
4/14/2020,Kerala,16235,15488,386
4/15/2020,Kerala,16475,16002,387
4/16/2020,Kerala,17400,16459,394
4/17/2020,Kerala,18029,17279,395
4/18/2020,Kerala,18774,17763,399
4/19/2020,Kerala,19351,18547,401
4/20/2020,Kerala,19756,19074,408
4/21/2020,Kerala,20252,19442,426
4/22/2020,Kerala,20821,19998,437
4/23/2020,Kerala,21334,20326,447
4/24/2020,Kerala,21940,20830,450
4/25/2020,Kerala,22360,21475,457
4/26/2020,Kerala,22954,21997,468
4/27/2020,Kerala,24146,23148,481
4/28/2020,Kerala,24855,24078,485
4/29/2020,Kerala,25827,24681,495
4/30/2020,Kerala,27481,26032,497
5/1/2020,Kerala,29012,27224,497
5/2/2020,Kerala,33276,31592,499
5/3/2020,Kerala,34608,33294,499
5/4/2020,Kerala,35441,34161,499
5/5/2020,Kerala,36312,35244,502
5/6/2020,Kerala,37546,36210,502
5/7/2020,Kerala,38206,36856,502
5/8/2020,Kerala,39266,38294,503
5/9/2020,Kerala,40123,39233,505
5/10/2020,Kerala,41279,40155,512
5/11/2020,Kerala,41700,40889,512
5/12/2020,Kerala,42461,41621,524
5/13/2020,Kerala,43648,42574,534
5/14/2020,Kerala,45039,43868,560
5/15/2020,Kerala,46831,45063,576
5/16/2020,Kerala,48433,46458,587
5/17/2020,Kerala,50036,47964,601
5/18/2020,Kerala,51059,49763,630
5/19/2020,Kerala,52588,50867,642
5/20/2020,Kerala,54633,52689,666
5/21/2020,Kerala,56373,54541,690
5/22/2020,Kerala,58382,56165,733
5/23/2020,Kerala,60443,58192,795
5/24/2020,Kerala,61900,59943,848
5/25/2020,Kerala,63009,61698,897
5/26/2020,Kerala,65303,63010,964
5/27/2020,Kerala,67961,65099,1004
5/28/2020,Kerala,70622,67677,1089
5/29/2020,Kerala,74214,71083,1151
5/30/2020,Kerala,77257,73775,1209
5/31/2020,Kerala,77508,75697,1270
6/1/2020,Kerala,82449,78310,1327
6/2/2020,Kerala,86169,81157,1413
6/3/2020,Kerala,95348,84870,1495
6/4/2020,Kerala,99692,87403,1589
6/5/2020,Kerala,104045,92818,1700
6/6/2020,Kerala,107796,97114,1808
6/7/2020,Kerala,111930,100319,1915
6/8/2020,Kerala,113956,103472,2006
6/9/2020,Kerala,126088,111892,2097
6/10/2020,Kerala,131006,116425,2162
6/11/2020,Kerala,135974,130857,2245
6/12/2020,Kerala,140457,134743,2323
6/13/2020,Kerala,144842,,2408
6/14/2020,Kerala,149164,,2462
6/15/2020,Kerala,151686,,2544
6/16/2020,Kerala,157117,,2623
6/17/2020,Kerala,161829,,2698
6/18/2020,Kerala,169035,,2795
6/19/2020,Kerala,173729,,2913
6/20/2020,Kerala,178559,,3040
6/21/2020,Kerala,183201,,3173
6/22/2020,Kerala,185903,,3311
6/23/2020,Kerala,192059,,3452
6/24/2020,Kerala,197567,,3604
6/25/2020,Kerala,203574,,3727
6/26/2020,Kerala,209456,,3877
6/27/2020,Kerala,215243,,4072
6/28/2020,Kerala,220821,,4190
6/29/2020,Kerala,224737,,4311
6/30/2020,Kerala,231570,,4442
7/1/2020,Kerala,239017,,4593
7/2/2020,Kerala,246799,,4753
7/3/2020,Kerala,253011,,4965
7/4/2020,Kerala,260011,,5205
7/5/2020,Kerala,268218,,5430
7/6/2020,Kerala,275823,,5623
7/7/2020,Kerala,285968,,5895
7/8/2020,Kerala,296183,,6196
7/9/2020,Kerala,307219,,6535
7/10/2020,Kerala,320485,,6951
7/11/2020,Kerala,334849,,7439
7/12/2020,Kerala,347529,,7874
7/13/2020,Kerala,416282,,8323
7/14/2020,Kerala,435043,,8931
7/15/2020,Kerala,453716,,9554
7/16/2020,Kerala,472271,,10276
7/17/2020,Kerala,489395,,11067
7/18/2020,Kerala,514140,,11660
7/19/2020,Kerala,532505,,12481
7/20/2020,Kerala,546000,,13275
7/21/2020,Kerala,567278,,13995
7/22/2020,Kerala,588930,,15033
7/23/2020,Kerala,612266,,16111
7/24/2020,Kerala,635272,,16996
7/25/2020,Kerala,653982,,18099
7/26/2020,Kerala,672748,,19026
7/27/2020,Kerala,688163,,19728
7/28/2020,Kerala,709348,,20895
7/29/2020,Kerala,733413,,21798
7/30/2020,Kerala,753485,,22304
7/31/2020,Kerala,776268,,23614
8/1/2020,Kerala,795919,,24743
8/2/2020,Kerala,817078,,25912
8/3/2020,Kerala,834215,,26874
8/4/2020,Kerala,858960,,27957
8/5/2020,Kerala,884056,,29152
8/6/2020,Kerala,908355,,30450
8/7/2020,Kerala,936651,,31701
8/8/2020,Kerala,963632,,33121
8/9/2020,Kerala,984208,,34332
8/10/2020,Kerala,1000988,,35516
8/11/2020,Kerala,1027433,,36933
8/12/2020,Kerala,1056360,,38145
8/13/2020,Kerala,1087722,,39709
8/14/2020,Kerala,1120935,,41278
8/15/2020,Kerala,1154365,,42886
8/16/2020,Kerala,1182727,,44416
8/17/2020,Kerala,1205759,,46141
8/18/2020,Kerala,1240076,,47899
8/19/2020,Kerala,1276358,,50232
8/20/2020,Kerala,1312992,,52200
8/21/2020,Kerala,1349071,,54183
8/22/2020,Kerala,1386775,,56355
8/23/2020,Kerala,1422558,,58263
8/24/2020,Kerala,1446380,,59505
8/25/2020,Kerala,1484907,,61880
8/26/2020,Kerala,1525792,,64356
8/27/2020,Kerala,1564783,,66762
8/28/2020,Kerala,1608013,,69305
8/29/2020,Kerala,1643633,,71702
8/30/2020,Kerala,1669779,,73856
4/13/2020,Ladakh,618,,17
4/14/2020,Ladakh,760,615,17
4/15/2020,Ladakh,820,657,18
4/16/2020,Ladakh,917,695,18
4/19/2020,Ladakh,991,797,18
4/21/2020,Ladakh,1137,896,18
4/29/2020,Ladakh,1949,1299,22
4/30/2020,Ladakh,2245,1384,22
5/1/2020,Ladakh,2430,1545,22
5/2/2020,Ladakh,2434,1618,23
5/3/2020,Ladakh,2434,1674,41
5/4/2020,Ladakh,2639,1879,41
5/9/2020,Ladakh,3503,2948,42
5/13/2020,Ladakh,3683,3353,43
5/16/2020,Ladakh,4067,3571,43
5/18/2020,Ladakh,4219,3791,43
5/19/2020,Ladakh,4730,3935,43
5/21/2020,Ladakh,5291,4081,44
5/22/2020,Ladakh,5505,4173,44
5/23/2020,Ladakh,5727,4505,49
5/24/2020,Ladakh,5730,4733,52
5/25/2020,Ladakh,5896,4894,53
5/30/2020,Ladakh,7354,6145,74
5/31/2020,Ladakh,7354,6167,77
6/2/2020,Ladakh,8310,6465,81
6/5/2020,Ladakh,9754,7204,97
6/6/2020,Ladakh,10164,7214,99
6/9/2020,Ladakh,10249,7888,108
6/11/2020,Ladakh,10855,8222,135
6/12/2020,Ladakh,10986,8460,239
6/13/2020,Ladakh,11135,8814,437
6/14/2020,Ladakh,11135,9087,539
6/15/2020,Ladakh,11260,9456,555
6/16/2020,Ladakh,11537,9660,649
6/17/2020,Ladakh,11626,9833,687
6/18/2020,Ladakh,12082,9901,687
6/19/2020,Ladakh,12516,10091,744
6/20/2020,Ladakh,12838,10307,836
6/21/2020,Ladakh,12838,10398,837
6/22/2020,Ladakh,13018,10715,847
6/23/2020,Ladakh,13118,10927,932
6/24/2020,Ladakh,13313,11191,932
6/25/2020,Ladakh,13521,11285,941
6/26/2020,Ladakh,13636,11563,946
6/27/2020,Ladakh,13717,11775,960
6/29/2020,Ladakh,13886,11880,964
7/1/2020,Ladakh,14076,12095,990
7/2/2020,Ladakh,14272,12142,990
7/3/2020,Ladakh,14361,12274,1001
7/4/2020,Ladakh,14537,12304,1005
7/5/2020,Ladakh,14537,12319,1005
7/7/2020,Ladakh,14833,12557,1041
7/8/2020,Ladakh,14938,12659,1047
7/9/2020,Ladakh,15067,12763,1055
7/10/2020,Ladakh,15186,12869,1064
7/11/2020,Ladakh,15293,12940,1077
7/12/2020,Ladakh,15295,13011,1086
7/13/2020,Ladakh,15393,13084,1093
7/14/2020,Ladakh,15603,13147,1128
7/16/2020,Ladakh,15830,13341,1147
7/18/2020,Ladakh,16192,13476,1159
7/19/2020,Ladakh,16225,13665,1178
7/20/2020,Ladakh,16467,13712,1195
7/21/2020,Ladakh,16639,,1198
7/22/2020,Ladakh,16850,13846,1206
7/23/2020,Ladakh,16972,,1210
7/24/2020,Ladakh,17395,14245,1246
7/25/2020,Ladakh,17625,14343,1276
7/26/2020,Ladakh,17626,14564,1285
7/27/2020,Ladakh,18071,14701,1306
7/28/2020,Ladakh,18438,14904,1327
7/29/2020,Ladakh,18849,14999,1347
7/30/2020,Ladakh,19143,15277,1378
7/31/2020,Ladakh,19465,15471,1404
8/1/2020,Ladakh,19833,15816,1462
8/2/2020,Ladakh,19860,15910,1466
8/3/2020,Ladakh,20240,15944,1485
8/4/2020,Ladakh,20601,16193,1534
8/5/2020,Ladakh,20978,16509,1592
8/6/2020,Ladakh,21383,16774,1595
8/7/2020,Ladakh,21740,17013,1614
8/8/2020,Ladakh,22013,17139,1639
8/9/2020,Ladakh,22015,17380,1688
8/10/2020,Ladakh,22161,17513,1717
8/11/2020,Ladakh,22709,17880,1770
8/12/2020,Ladakh,23034,18040,1811
8/13/2020,Ladakh,23430,18370,1849
8/14/2020,Ladakh,24197,18888,1879
8/15/2020,Ladakh,24253,19052,1909
8/16/2020,Ladakh,24273,19177,
8/17/2020,Ladakh,24702,19266,
8/18/2020,Ladakh,25208,19611,
8/19/2020,Ladakh,25501,19755,
8/20/2020,Ladakh,25947,19985,
8/21/2020,Ladakh,26302,20354,
8/22/2020,Ladakh,26531,,
8/23/2020,Ladakh,26654,20881,
8/24/2020,Ladakh,26894,21059,
8/25/2020,Ladakh,27735,21217,
8/26/2020,Ladakh,28719,22431,
8/27/2020,Ladakh,29614,23164,
8/28/2020,Ladakh,30311,23747,
8/29/2020,Ladakh,30973,24305,
4/5/2020,Madhya Pradesh,2812,1954,193
4/7/2020,Madhya Pradesh,3770,3125,290
4/8/2020,Madhya Pradesh,4056,3443,341
4/9/2020,Madhya Pradesh,5135,3989,411
4/10/2020,Madhya Pradesh,7049,4840,451
4/11/2020,Madhya Pradesh,8516,5790,529
4/12/2020,Madhya Pradesh,10481,6875,562
4/13/2020,Madhya Pradesh,10481,6875,614
4/14/2020,Madhya Pradesh,8105,7103,741
4/15/2020,Madhya Pradesh,9596,8658,938
4/16/2020,Madhya Pradesh,13492,12326,1164
4/17/2020,Madhya Pradesh,15302,13992,1310
4/18/2020,Madhya Pradesh,14978,13576,1402
4/19/2020,Madhya Pradesh,17835,16428,1407
4/20/2020,Madhya Pradesh,19142,17657,1485
4/21/2020,Madhya Pradesh,20905,19353,1552
4/22/2020,Madhya Pradesh,22664,21077,1587
4/23/2020,Madhya Pradesh,24548,22861,1687
4/24/2020,Madhya Pradesh,26233,24387,1846
4/25/2020,Madhya Pradesh,27866,25921,1945
4/26/2020,Madhya Pradesh,25232,21716,2090
4/27/2020,Madhya Pradesh,27009,23500,2165
4/28/2020,Madhya Pradesh,31060,26159,2387
4/29/2020,Madhya Pradesh,33837,29261,2560
4/30/2020,Madhya Pradesh,41712,29816,2625
5/1/2020,Madhya Pradesh,44116,39353,2715
5/2/2020,Madhya Pradesh,46578,41460,2788
5/3/2020,Madhya Pradesh,49186,43937,2837
5/4/2020,Madhya Pradesh,52095,46634,2942
5/5/2020,Madhya Pradesh,54595,48931,3049
5/6/2020,Madhya Pradesh,54595,51479,3138
5/7/2020,Madhya Pradesh,61020,55002,3252
5/8/2020,Madhya Pradesh,63705,57528,3341
5/9/2020,Madhya Pradesh,68010,61629,3457
5/10/2020,Madhya Pradesh,72069,65436,3614
5/11/2020,Madhya Pradesh,76039,69187,3785
5/12/2020,Madhya Pradesh,80885,73761,3986
5/13/2020,Madhya Pradesh,85903,77738,4173
5/14/2020,Madhya Pradesh,89760,82028,4426
5/15/2020,Madhya Pradesh,93849,85879,4595
5/16/2020,Madhya Pradesh,99677,91393,4790
5/17/2020,Madhya Pradesh,103898,95355,4977
5/18/2020,Madhya Pradesh,112168,100469,5236
5/19/2020,Madhya Pradesh,116473,104348,5465
5/20/2020,Madhya Pradesh,120737,108744,5735
5/21/2020,Madhya Pradesh,125608,112947,5981
5/22/2020,Madhya Pradesh,129060,116835,6170
5/23/2020,Madhya Pradesh,132769,121033,6371
5/24/2020,Madhya Pradesh,135889,124549,6665
5/25/2020,Madhya Pradesh,138584,128267,6859
5/26/2020,Madhya Pradesh,141508,131415,7024
5/27/2020,Madhya Pradesh,146144,134774,7261
5/28/2020,Madhya Pradesh,151182,138387,7453
5/29/2020,Madhya Pradesh,155436,142383,7645
5/30/2020,Madhya Pradesh,161552,146616,7891
5/31/2020,Madhya Pradesh,167808,151793,8089
6/1/2020,Madhya Pradesh,172019,157790,8283
6/2/2020,Madhya Pradesh,177481,163100,8420
6/3/2020,Madhya Pradesh,183662,168219,8588
6/4/2020,Madhya Pradesh,189252,173392,8762
6/5/2020,Madhya Pradesh,195249,179234,8996
6/6/2020,Madhya Pradesh,200913,184202,9228
6/7/2020,Madhya Pradesh,208514,190155,9401
6/8/2020,Madhya Pradesh,215194,196497,9638
6/9/2020,Madhya Pradesh,220936,203131,9849
6/10/2020,Madhya Pradesh,228042,210081,10049
6/11/2020,Madhya Pradesh,233740,217860,10241
6/12/2020,Madhya Pradesh,241461,224064,10443
6/13/2020,Madhya Pradesh,246973,231123,10641
6/14/2020,Madhya Pradesh,252762,236649,10802
6/15/2020,Madhya Pradesh,258040,242117,10935
6/16/2020,Madhya Pradesh,263983,247196,11083
6/17/2020,Madhya Pradesh,271205,253474,11244
6/18/2020,Madhya Pradesh,277451,260395,11426
6/19/2020,Madhya Pradesh,282674,267247,11582
6/20/2020,Madhya Pradesh,290831,273628,11724
6/21/2020,Madhya Pradesh,296943,280480,11903
6/22/2020,Madhya Pradesh,302673,286516,12078
6/23/2020,Madhya Pradesh,307812,291733,12261
6/24/2020,Madhya Pradesh,314978,298712,12448
6/25/2020,Madhya Pradesh,321595,305182,12595
6/26/2020,Madhya Pradesh,329079,312463,12798
6/27/2020,Madhya Pradesh,337041,320258,12965
6/28/2020,Madhya Pradesh,344836,327832,13186
6/29/2020,Madhya Pradesh,353612,336424,13370
6/30/2020,Madhya Pradesh,365467,346060,13593
7/1/2020,Madhya Pradesh,372811,355136,13861
7/2/2020,Madhya Pradesh,380655,362735,14106
7/3/2020,Madhya Pradesh,389180,371069,14297
7/4/2020,Madhya Pradesh,398329,379911,14604
7/5/2020,Madhya Pradesh,407882,389138,14930
7/6/2020,Madhya Pradesh,417402,398304,15284
7/7/2020,Madhya Pradesh,427143,407702,15627
7/8/2020,Madhya Pradesh,437930,418080,16036
7/9/2020,Madhya Pradesh,449680,429525,16341
7/10/2020,Madhya Pradesh,460941,440470,16657
7/11/2020,Madhya Pradesh,474461,453446,17201
7/12/2020,Madhya Pradesh,486176,465270,17632
7/13/2020,Madhya Pradesh,509223,486956,18207
7/14/2020,Madhya Pradesh,521700,498635,19005
7/15/2020,Madhya Pradesh,540483,516780,19643
7/16/2020,Madhya Pradesh,553082,528644,20378
7/17/2020,Madhya Pradesh,567364,542222,21082
7/18/2020,Madhya Pradesh,583655,557831,21763
7/19/2020,Madhya Pradesh,599640,572979,22600
7/20/2020,Madhya Pradesh,615862,588491,23310
7/21/2020,Madhya Pradesh,631067,602911,24095
7/22/2020,Madhya Pradesh,645003,616100,24842
7/23/2020,Madhya Pradesh,658869,629334,25474
7/24/2020,Madhya Pradesh,670155,639884,26210
7/25/2020,Madhya Pradesh,684419,653432,26926
7/26/2020,Madhya Pradesh,698171,666310,27800
7/27/2020,Madhya Pradesh,711982,679332,28589
7/28/2020,Madhya Pradesh,724673,691395,29217
7/29/2020,Madhya Pradesh,738986,704791,30134
7/30/2020,Madhya Pradesh,752924,717895,30968
7/31/2020,Madhya Pradesh,767571,731704,31806
8/1/2020,Madhya Pradesh,783769,747094,32614
8/2/2020,Madhya Pradesh,799500,761904,33535
8/3/2020,Madhya Pradesh,812362,774016,34285
8/4/2020,Madhya Pradesh,825723,786580,35082
8/5/2020,Madhya Pradesh,838041,798246,35734
8/6/2020,Madhya Pradesh,846484,805859,36564
8/7/2020,Madhya Pradesh,859921,818562,37298
8/8/2020,Madhya Pradesh,874678,832460,38157
8/9/2020,Madhya Pradesh,891698,848394,39025
8/10/2020,Madhya Pradesh,909926,865756,39891
8/11/2020,Madhya Pradesh,931143,886130,
8/12/2020,Madhya Pradesh,951822,905939,
8/13/2020,Madhya Pradesh,972046,925149,
8/14/2020,Madhya Pradesh,992172,944479,
8/15/2020,Madhya Pradesh,1013332,964620,44433
8/16/2020,Madhya Pradesh,1035343,985609,
8/17/2020,Madhya Pradesh,1055205,1004541,
8/18/2020,Madhya Pradesh,1072575,1020921,47375
8/19/2020,Madhya Pradesh,1089939,1037309,
8/20/2020,Madhya Pradesh,1111158,1057376,
8/21/2020,Madhya Pradesh,1133826,1078907,50640
8/22/2020,Madhya Pradesh,1158510,1102365,
8/23/2020,Madhya Pradesh,1181280,1123872,
8/24/2020,Madhya Pradesh,1203705,1145005,
8/25/2020,Madhya Pradesh,1226559,1166480,
8/26/2020,Madhya Pradesh,1248021,1186878,
8/27/2020,Madhya Pradesh,1271846,1209386,
8/28/2020,Madhya Pradesh,1297699,1233987,
8/29/2020,Madhya Pradesh,1324851,1259697,
8/30/2020,Madhya Pradesh,1349814,1283102,
4/5/2020,Maharashtra,16008,14837,
4/6/2020,Maharashtra,17563,15808,868
4/7/2020,Maharashtra,20877,19290,1018
4/9/2020,Maharashtra,20877,19290,868
4/10/2020,Maharashtra,30000,28865,1135
4/11/2020,Maharashtra,31841,30477,1761
4/12/2020,Maharashtra,35668,34094,1761
4/13/2020,Maharashtra,39725,37964,1996
4/14/2020,Maharashtra,41071,39089,2340
4/15/2020,Maharashtra,45142,42808,2690
4/16/2020,Maharashtra,50882,48198,2916
4/17/2020,Maharashtra,55678,52762,3204
4/18/2020,Maharashtra,60166,56964,3323
4/19/2020,Maharashtra,66796,63476,3651
4/20/2020,Maharashtra,71321,67673,4204
4/21/2020,Maharashtra,75838,71638,4676
4/22/2020,Maharashtra,82304,77638,5229
4/23/2020,Maharashtra,89197,83979,5218
4/24/2020,Maharashtra,95210,89561,6427
4/25/2020,Maharashtra,100912,94485,6817
4/26/2020,Maharashtra,107979,101162,7928
4/27/2020,Maharashtra,115147,107519,8068
4/28/2020,Maharashtra,120620,112552,8590
4/29/2020,Maharashtra,128726,120136,9318
4/30/2020,Maharashtra,135694,126376,9915
5/1/2020,Maharashtra,144159,134244,10498
5/2/2020,Maharashtra,151085,140587,11506
5/3/2020,Maharashtra,159754,148248,12296
5/4/2020,Maharashtra,168374,156078,12974
5/5/2020,Maharashtra,175323,162349,14541
5/6/2020,Maharashtra,181746,167205,15525
5/7/2020,Maharashtra,189220,173838,16758
5/8/2020,Maharashtra,200477,183862,17974
5/9/2020,Maharashtra,210174,192197,19063
5/10/2020,Maharashtra,225524,206481,20228
5/11/2020,Maharashtra,218914,193457,23401
5/12/2020,Maharashtra,222284,196165,23401
5/13/2020,Maharashtra,231061,203536,24427
5/14/2020,Maharashtra,240482,211082,25922
5/15/2020,Maharashtra,250898,219635,27524
5/16/2020,Maharashtra,261815,228956,29100
5/17/2020,Maharashtra,274040,238476,30706
5/18/2020,Maharashtra,282437,245512,33053
5/19/2020,Maharashtra,294272,255065,35058
5/20/2020,Maharashtra,307535,265872,37136
5/21/2020,Maharashtra,319921,276369,39297
5/22/2020,Maharashtra,333087,286157,41642
5/23/2020,Maharashtra,348932,299107,44582
5/24/2020,Maharashtra,363470,310565,47190
5/25/2020,Maharashtra,379185,323937,50231
5/26/2020,Maharashtra,390757,333468,52667
5/27/2020,Maharashtra,405020,345151,54758
5/28/2020,Maharashtra,420473,358253,56948
5/29/2020,Maharashtra,434565,369442,59546
5/30/2020,Maharashtra,448661,380425,62228
5/31/2020,Maharashtra,463177,392516,65168
6/1/2020,Maharashtra,472344,399419,67655
6/2/2020,Maharashtra,484784,409178,70013
6/3/2020,Maharashtra,498577,420644,72300
6/4/2020,Maharashtra,511136,430100,74860
6/5/2020,Maharashtra,524002,440445,77793
6/6/2020,Maharashtra,538009,451764,80229
6/7/2020,Maharashtra,553063,463723,82968
6/8/2020,Maharashtra,565290,473588,85975
6/9/2020,Maharashtra,579294,485144,88528
6/10/2020,Maharashtra,595282,497990,90787
6/11/2020,Maharashtra,610790,509990,94041
6/12/2020,Maharashtra,626521,521942,97648
6/13/2020,Maharashtra,643057,535252,101141
6/14/2020,Maharashtra,659481,548250,104568
6/15/2020,Maharashtra,671348,557161,107958
6/16/2020,Maharashtra,686488,569863,110744
6/18/2020,Maharashtra,719637,595843,123794
6/19/2020,Maharashtra,737597,609968,120504
6/20/2020,Maharashtra,756809,624869,124331
